"PERMNO" "DATE" "TICKER" "PRC" "RET" "RETX" "vwretd" "vwretx" "ewretd" "ewretx" "sprtrn"
"65" 11850 20040405 "XOM" 42.25 0.008113 0.008113 0.006556 0.006552 0.005305 0.005289 0.007672
"66" 11850 20040406 "XOM" 42.19 -0.00142 -0.00142 -0.00345 -0.00368 -0.006199 -0.006254 -0.002095
"67" 11850 20040407 "XOM" 41.9 -0.006874 -0.006874 -0.004299 -0.004344 0.001555 0.001516 -0.006645
"68" 11850 20040408 "XOM" 42.45 0.013126 0.013126 -0.001938 -0.00206 -0.000685 -0.000717 -0.001061
"69" 11850 20040412 "XOM" 43.11 0.015548 0.015548 0.003962 0.003946 0.004262 0.004247 0.005161
"70" 11850 20040413 "XOM" 42.82 -0.006727 -0.006727 -0.014924 -0.014997 -0.014536 -0.01477 -0.013762
"71" 11850 20040414 "XOM" 43.3 0.01121 0.01121 -0.003324 -0.003373 -0.007152 -0.0073 -0.001124
"72" 11850 20040415 "XOM" 43.68 0.008776 0.008776 -8.2e-05 -8.5e-05 -0.001682 -0.001705 0.000594
"73" 11850 20040416 "XOM" 43.86 0.004121 0.004121 0.004869 0.004717 0.0044 0.004366 0.005111
"74" 11850 20040419 "XOM" 43.73 -0.002964 -0.002964 0.002223 0.00222 0.004071 0.004063 0.001066
"75" 11850 20040420 "XOM" 42.73 -0.022868 -0.022868 -0.015426 -0.015446 -0.01245 -0.012467 -0.015557
"76" 11850 20040421 "XOM" 42.95 0.005149 0.005149 0.005474 0.005416 0.002376 0.002316 0.005312
"77" 11850 20040422 "XOM" 43.3 0.008149 0.008149 0.014496 0.014457 0.010784 0.010759 0.014091
"78" 11850 20040423 "XOM" 42.97 -0.007621 -0.007621 -0.000306 -0.000315 -0.000902 -0.00092 0.000588
"79" 11850 20040426 "XOM" 43.01 0.000931 0.000931 -0.003132 -0.003136 -0.002583 -0.002617 -0.004445
"80" 11850 20040427 "XOM" 43.75 0.017205 0.017205 0.001196 0.001194 -9.8e-05 -0.000137 0.002272
"81" 11850 20040428 "XOM" 43.12 -0.0144 -0.0144 -0.015813 -0.015989 -0.017847 -0.018066 -0.013795
"82" 11850 20040429 "XOM" 42.54 -0.013451 -0.013451 -0.008793 -0.009033 -0.014693 -0.014788 -0.007591
"83" 11850 20040430 "XOM" 42.55 0.000235 0.000235 -0.006457 -0.006469 -0.01076 -0.010833 -0.005916
"84" 11850 20040503 "XOM" 43.68 0.026557 0.026557 0.008485 0.00845 0.001712 0.001604 0.009203
"85" 11850 20040504 "XOM" 43.52 -0.003663 -0.003663 0.003537 0.003521 0.006555 0.006521 0.001843
"86" 11850 20040505 "XOM" 43.99 0.0108 0.0108 0.002455 0.002315 0.003218 0.003093 0.001769
"87" 11850 20040506 "XOM" 43.83 -0.003637 -0.003637 -0.008366 -0.008468 -0.011141 -0.011273 -0.006723
"88" 11850 20040507 "XOM" 43.25 -0.013233 -0.013233 -0.015959 -0.015961 -0.016934 -0.016964 -0.013725
"89" 11850 20040510 "XOM" 42.05 -0.027746 -0.027746 -0.013775 -0.013812 -0.021226 -0.021273 -0.01054
"90" 11850 20040511 "XOM" 42.6 0.019501 0.01308 0.00989 0.009734 0.012822 0.012796 0.007662
"91" 11850 20040512 "XOM" 43 0.00939 0.00939 0.00116 0.000852 -0.001461 -0.00185 0.001671
"92" 11850 20040513 "XOM" 42.73 -0.006279 -0.006279 -0.000876 -0.000952 -0.001152 -0.001251 -0.000766
"93" 11850 20040514 "XOM" 43.27 0.012638 0.012638 -0.001335 -0.00147 -0.003696 -0.003746 -0.000675
"94" 11850 20040517 "XOM" 43.05 -0.005084 -0.005084 -0.010752 -0.010821 -0.013039 -0.013061 -0.010587
"95" 11850 20040518 "XOM" 42.69 -0.008362 -0.008362 0.007791 0.00762 0.007593 0.007501 0.006817
"96" 11850 20040519 "XOM" 42.6 -0.002108 -0.002108 -0.001133 -0.001259 0.002872 0.002814 -0.002574
"97" 11850 20040520 "XOM" 42.73 0.003052 0.003052 0.000392 0.000356 -0.001566 -0.001672 0.000468
"98" 11850 20040521 "XOM" 42.6 -0.003042 -0.003042 0.004468 0.004455 0.006044 0.006007 0.004012
"99" 11850 20040524 "XOM" 42.8 0.004695 0.004695 0.003709 0.003688 0.006881 0.006853 0.001692
"100" 11850 20040525 "XOM" 43.82 0.023832 0.023832 0.016326 0.016321 0.014261 0.014236 0.016104
"101" 11850 20040526 "XOM" 43.55 -0.006162 -0.006162 0.002683 0.002552 0.005591 0.005435 0.001698
"102" 11850 20040527 "XOM" 43.37 -0.004133 -0.004133 0.005661 0.00555 0.00497 0.004862 0.005686
"103" 11850 20040528 "XOM" 43.25 -0.002767 -0.002767 0.000315 0.000301 0.003178 0.003172 -0.000535
"104" 11850 20040601 "XOM" 43.7 0.010405 0.010405 0.001376 0.001354 0.00229 0.002224 0.000464
"105" 11850 20040602 "XOM" 43.78 0.001831 0.001831 0.002946 0.002696 0.002682 0.00259 0.00338
"106" 11850 20040603 "XOM" 43.55 -0.005254 -0.005254 -0.008543 -0.008654 -0.009511 -0.009576 -0.007422
"107" 11850 20040604 "XOM" 43.37 -0.004133 -0.004133 0.006059 0.006037 0.006289 0.006257 0.005248
"108" 11850 20040607 "XOM" 44 0.014526 0.014526 0.015579 0.015547 0.012268 0.012243 0.015964
"109" 11850 20040608 "XOM" 43.89 -0.0025 -0.0025 0.000591 0.000521 -0.000904 -0.000959 0.001543
"110" 11850 20040609 "XOM" 43.45 -0.010025 -0.010025 -0.010734 -0.01081 -0.010233 -0.010313 -0.009499
"111" 11850 20040610 "XOM" 43.98 0.012198 0.012198 0.003555 0.003517 0.000846 0.000778 0.004543
"112" 11850 20040614 "XOM" 43.85 -0.002956 -0.002956 -0.011038 -0.011311 -0.013466 -0.013832 -0.009837
"113" 11850 20040615 "XOM" 44.08 0.005245 0.005245 0.007984 0.007956 0.009432 0.009384 0.005972
"114" 11850 20040616 "XOM" 44.73 0.014746 0.014746 0.001385 0.001361 0.001809 0.001749 0.001369
"115" 11850 20040617 "XOM" 44.77 0.000894 0.000894 -0.000465 -0.000504 -0.000447 -0.000494 -0.001332
"116" 11850 20040618 "XOM" 44.98 0.004691 0.004691 0.00218 0.00216 -0.000298 -0.000338 0.002624
"117" 11850 20040621 "XOM" 44.73 -0.005558 -0.005558 -0.003701 -0.003711 -0.001542 -0.001639 -0.004159
"118" 11850 20040622 "XOM" 44.9 0.003801 0.003801 0.003833 0.003811 0.003032 0.00298 0.003636
"119" 11850 20040623 "XOM" 45.46 0.012472 0.012472 0.008847 0.008827 0.008443 0.008393 0.008507
"120" 11850 20040624 "XOM" 45.27 -0.004179 -0.004179 -0.001963 -0.002127 0.001372 0.001346 -0.002981
"121" 11850 20040625 "XOM" 44.25 -0.022531 -0.022531 -0.001975 -0.001983 0.00442 0.004396 -0.005453
"122" 11850 20040628 "XOM" 44.38 0.002938 0.002938 -0.002295 -0.002498 -0.002598 -0.0029 -0.000952
"123" 11850 20040629 "XOM" 44.57 0.004281 0.004281 0.002705 0.002675 0.003791 0.003755 0.002515
"124" 11850 20040630 "XOM" 44.41 -0.00359 -0.00359 0.005476 0.005394 0.006791 0.006722 0.004084
"125" 11850 20040701 "XOM" 44.59 0.004053 0.004053 -0.009919 -0.010011 -0.007864 -0.007979 -0.010431
"126" 11850 20040702 "XOM" 44.72 0.002915 0.002915 -0.001822 -0.001847 0.001429 0.001417 -0.003153
"127" 11850 20040706 "XOM" 45.1 0.008497 0.008497 -0.008961 -0.008965 -0.010532 -0.010551 -0.008148
"128" 11850 20040707 "XOM" 45.37 0.005987 0.005987 0.001941 0.001746 0.000561 0.000478 0.001899
"129" 11850 20040708 "XOM" 45.32 -0.001102 -0.001102 -0.009204 -0.009253 -0.012083 -0.012118 -0.008244
"130" 11850 20040709 "XOM" 45.45 0.002869 0.002869 0.003278 0.003242 0.002667 0.00265 0.003336
"131" 11850 20040712 "XOM" 45.44 -0.00022 -0.00022 5.6e-05 3.4e-05 -0.002864 -0.002885 0.001384
"132" 11850 20040713 "XOM" 45.21 -0.005062 -0.005062 0.000521 0.000441 -0.000969 -0.001238 0.000709
"133" 11850 20040714 "XOM" 45.46 0.00553 0.00553 -0.002641 -0.00268 -0.003875 -0.003962 -0.003291
"134" 11850 20040715 "XOM" 45.32 -0.00308 -0.00308 -0.003301 -0.003304 0.000464 0.000446 -0.004301
"135" 11850 20040716 "XOM" 45.83 0.011253 0.011253 -0.004657 -0.004674 -0.006543 -0.006562 -0.004789
"136" 11850 20040719 "XOM" 45.9 0.001527 0.001527 -0.000598 -0.000599 -0.004277 -0.004281 -0.000445
"137" 11850 20040720 "XOM" 45.9 0 0 0.007468 0.007458 0.008188 0.008141 0.007058
"138" 11850 20040721 "XOM" 45.17 -0.015904 -0.015904 -0.014464 -0.014536 -0.015712 -0.015758 -0.01334
"139" 11850 20040722 "XOM" 45.39 0.004871 0.004871 0.000818 0.000784 -0.004281 -0.004312 0.002706
"140" 11850 20040723 "XOM" 45.32 -0.001542 -0.001542 -0.010186 -0.010197 -0.010544 -0.010567 -0.009701
"141" 11850 20040726 "XOM" 45.33 0.000221 0.000221 -0.004682 -0.004687 -0.009917 -0.009929 -0.00197
"142" 11850 20040727 "XOM" 45.41 0.001765 0.001765 0.010385 0.010384 0.010437 0.010427 0.009935
"143" 11850 20040728 "XOM" 45.81 0.008809 0.008809 -0.000162 -0.000354 -0.001939 -0.002161 0.000539
"144" 11850 20040729 "XOM" 46.03 0.004802 0.004802 0.00665 0.006418 0.010063 0.009986 0.004574
"145" 11850 20040730 "XOM" 46.3 0.005866 0.005866 0.001471 0.00146 0.006061 0.006006 0.001172
"146" 11850 20040802 "XOM" 46.25 -0.00108 -0.00108 0.003532 0.003514 -0.001308 -0.001351 0.004448
"147" 11850 20040803 "XOM" 46.89 0.013838 0.013838 -0.006662 -0.006674 -0.006846 -0.006866 -0.006262
"148" 11850 20040804 "XOM" 46.24 -0.013862 -0.013862 -0.002272 -0.002431 -0.003547 -0.003644 -0.000964
"149" 11850 20040805 "XOM" 45.83 -0.008867 -0.008867 -0.015919 -0.015959 -0.012299 -0.012375 -0.01632
"150" 11850 20040806 "XOM" 45.12 -0.015492 -0.015492 -0.014944 -0.014995 -0.015345 -0.01544 -0.015481
"151" 11850 20040809 "XOM" 45.56 0.009752 0.009752 0.000131 1e-04 -0.004102 -0.004142 0.001175
"152" 11850 20040810 "XOM" 45.29 -0.005926 -0.005926 0.013192 0.013175 0.011239 0.011219 0.012974
"153" 11850 20040811 "XOM" 45.13 0.002429 -0.003533 -0.003383 -0.003823 -0.00646 -0.006719 -0.003012
"154" 11850 20040812 "XOM" 44.56 -0.01263 -0.01263 -0.01163 -0.011701 -0.011899 -0.012071 -0.011675
"155" 11850 20040813 "XOM" 44.92 0.008079 0.008079 0.001961 0.001864 0.000769 0.000727 0.001477
"156" 11850 20040816 "XOM" 45.09 0.003785 0.003785 0.013976 0.013908 0.01096 0.010911 0.013655
"157" 11850 20040817 "XOM" 44.36 -0.01619 -0.01619 0.002927 0.002855 0.004402 0.004384 0.002196
"158" 11850 20040818 "XOM" 44.81 0.010144 0.010144 0.012865 0.012708 0.013786 0.013701 0.012443
"159" 11850 20040819 "XOM" 45.09 0.006249 0.006249 -0.003137 -0.003157 -0.001599 -0.001617 -0.003598
"160" 11850 20040820 "XOM" 45.25 0.003548 0.003548 0.00817 0.008164 0.011319 0.011284 0.006525
"161" 11850 20040823 "XOM" 44.99 -0.005746 -0.005746 -0.003438 -0.003517 -0.00282 -0.002865 -0.002431
"162" 11850 20040824 "XOM" 44.85 -0.003112 -0.003112 0.000578 0.000565 0.000581 0.000566 0.000465
"163" 11850 20040825 "XOM" 45.19 0.007581 0.007581 0.007997 0.007935 0.007774 0.007662 0.008
"164" 11850 20040826 "XOM" 45.25 0.001328 0.001328 -0.000349 -0.000371 -0.001208 -0.001233 0.000118
"165" 11850 20040827 "XOM" 45.44 0.004199 0.004199 0.002979 0.002874 0.00545 0.005369 0.002425
"166" 11850 20040830 "XOM" 45.13 -0.006822 -0.006822 -0.008134 -0.00824 -0.005767 -0.005862 -0.007781
"167" 11850 20040831 "XOM" 46.1 0.021493 0.021493 0.00509 0.005065 0.005749 0.005738 0.004631
"168" 11850 20040901 "XOM" 46.44 0.007375 0.007375 0.003412 0.003163 0.004552 0.004451 0.001512
"169" 11850 20040902 "XOM" 46.98 0.011628 0.011628 0.010564 0.010552 0.008554 0.008528 0.011212
"170" 11850 20040903 "XOM" 47.06 0.001703 0.001703 -0.004239 -0.004252 -0.003307 -0.003333 -0.004185
"171" 11850 20040907 "XOM" 47.15 0.001912 0.001912 0.007453 0.007416 0.006994 0.006936 0.006887
"172" 11850 20040908 "XOM" 47.07 -0.001697 -0.001697 -0.004531 -0.004698 -0.003544 -0.003696 -0.004486
"173" 11850 20040909 "XOM" 47.48 0.00871 0.00871 0.003147 0.003135 0.007356 0.007331 0.00189
"174" 11850 20040910 "XOM" 47.37 -0.002317 -0.002317 0.004988 0.004966 0.00619 0.006127 0.004954
"175" 11850 20040913 "XOM" 47.5 0.002744 0.002744 0.003105 0.002837 0.005144 0.004858 0.001691
"176" 11850 20040914 "XOM" 47.47 -0.000632 -0.000632 0.001934 0.001904 0.000419 0.000371 0.002229
"177" 11850 20040915 "XOM" 47.43 -0.000843 -0.000843 -0.006371 -0.006405 -0.003611 -0.003685 -0.007055
"178" 11850 20040916 "XOM" 47.55 0.00253 0.00253 0.004133 0.004104 0.006373 0.00629 0.002794
"179" 11850 20040917 "XOM" 48.37 0.017245 0.017245 0.00335 0.003323 0.001158 0.00112 0.004495
"180" 11850 20040920 "XOM" 48.21 -0.003308 -0.003308 -0.004635 -0.004639 -0.001886 -0.001897 -0.005627
"181" 11850 20040921 "XOM" 49.49 0.026551 0.026551 0.007496 0.007484 0.007463 0.00744 0.006327
"182" 11850 20040922 "XOM" 48.86 -0.01273 -0.01273 -0.012931 -0.012958 -0.009898 -0.009977 -0.013938
"183" 11850 20040923 "XOM" 47.76 -0.022513 -0.022513 -0.00345 -0.003605 -0.000186 -0.000218 -0.00467
"184" 11850 20040924 "XOM" 47.83 0.001466 0.001466 0.001519 0.001499 0.000874 0.000849 0.001579
"185" 11850 20040927 "XOM" 47.96 0.002718 0.002718 -0.006774 -0.006786 -0.00809 -0.008126 -0.005936
"186" 11850 20040928 "XOM" 48.53 0.011885 0.011885 0.00659 0.00638 0.006534 0.00623 0.005926
"187" 11850 20040929 "XOM" 48.15 -0.00783 -0.00783 0.004723 0.004634 0.005863 0.005808 0.00427
"188" 11850 20040930 "XOM" 48.33 0.003738 0.003738 0.001208 0.001197 0.005099 0.005085 -0.000197
"189" 11850 20041001 "XOM" 48.89 0.011587 0.011587 0.014764 0.01473 0.013043 0.013001 0.015181
"190" 11850 20041004 "XOM" 48.92 0.000614 0.000614 0.00369 0.003605 0.005084 0.005073 0.003243
"191" 11850 20041005 "XOM" 49.32 0.008177 0.008177 -0.000531 -0.00054 -8.2e-05 -9.5e-05 -0.000608
"192" 11850 20041006 "XOM" 50.03 0.014396 0.014396 0.006931 0.006676 0.005975 0.005845 0.006673
"193" 11850 20041007 "XOM" 49.74 -0.005796 -0.005796 -0.01023 -0.010279 -0.007995 -0.008018 -0.009982
"194" 11850 20041008 "XOM" 49.84 0.00201 0.00201 -0.006685 -0.006698 -0.005674 -0.005701 -0.007527
"195" 11850 20041011 "XOM" 49.79 -0.001003 -0.001003 0.001708 0.001708 0.002378 0.002378 0.002005
"196" 11850 20041012 "XOM" 49.37 -0.008435 -0.008435 -0.00238 -0.002384 -0.002549 -0.00257 -0.002268
"197" 11850 20041013 "XOM" 48.48 -0.018027 -0.018027 -0.007343 -0.00748 -0.006426 -0.006759 -0.007301
"198" 11850 20041014 "XOM" 48.71 0.004744 0.004744 -0.008121 -0.008128 -0.006097 -0.006172 -0.009303
"199" 11850 20041015 "XOM" 49.02 0.006364 0.006364 0.004777 0.004767 0.004152 0.004139 0.00445
"200" 11850 20041018 "XOM" 48.75 -0.005508 -0.005508 0.004416 0.004413 0.001699 0.001676 0.005252
"201" 11850 20041019 "XOM" 48.31 -0.009026 -0.009026 -0.00866 -0.008663 -0.004584 -0.004595 -0.009686
"202" 11850 20041020 "XOM" 48.87 0.011592 0.011592 0.001842 0.001778 0.00284 0.002793 0.00039
"203" 11850 20041021 "XOM" 48.81 -0.001228 -0.001228 0.004423 0.004378 0.007061 0.006956 0.002564
"204" 11850 20041022 "XOM" 48.7 -0.002254 -0.002254 -0.009262 -0.009282 -0.006433 -0.006445 -0.009715
"205" 11850 20041025 "XOM" 48.81 0.002259 0.002259 -0.00011 -0.00011 0.002031 0.00203 -0.000849
"206" 11850 20041026 "XOM" 49.39 0.011883 0.011883 0.013015 0.013014 0.006836 0.006816 0.01487
"207" 11850 20041027 "XOM" 48.95 -0.008909 -0.008909 0.012514 0.012318 0.009866 0.00968 0.012879
"208" 11850 20041028 "XOM" 48.61 -0.006946 -0.006946 0.001122 0.000868 7.1e-05 -2.4e-05 0.001813
"209" 11850 20041029 "XOM" 49.22 0.012549 0.012549 0.002336 0.002294 0.001993 0.001957 0.002448
"210" 11850 20041101 "XOM" 48.82 -0.008127 -0.008127 0.000813 0.000807 0.001722 0.001694 0.000274
"211" 11850 20041102 "XOM" 48.43 -0.007989 -0.007989 1.8e-05 1.3e-05 0.000245 0.000234 2.7e-05
"212" 11850 20041103 "XOM" 49.27 0.017345 0.017345 0.011648 0.011473 0.010249 0.010162 0.011198
"213" 11850 20041104 "XOM" 50.19 0.018673 0.018673 0.014317 0.014262 0.007665 0.007582 0.016156
"214" 11850 20041105 "XOM" 50.39 0.003985 0.003985 0.003823 0.003808 0.004762 0.004744 0.003874
"215" 11850 20041108 "XOM" 50.17 -0.004366 -0.004366 -0.00126 -0.001354 -0.001109 -0.001293 -0.001098
